street_name,total_complaints
"kohlman street",19
"owen street",19
"hannahs terrace",19
"mayflower street",19
"indiana street",19
"belgard street",19
"abbott street",19
"morningside park",19
"kondolf street",19
"calihan park",19
"myrtle hill park",19
"kingsley road",19
"washburn park",19
"south union street",19
"pittsford street",19
"franklin street",19
"wolff street",18
"langham street",18
"tryon park",18
"harris street",18
"verona street",18
"lill street",18
"huntington park",18
"packard street",18
"clayton street",18
"seventh street",18
"clarkson street",18
"palm street",18
"superior street",18
"palisade park",18
"ernestine street",18
"primrose street",18
"lydia street",18
"baird street",18
"belmont street",18
"leo street",18
"klueh street",18
"buckingham street",18
"van olinda street",18
"byers court",18
"woodlawn street",18
"cimarron drive",18
"ruggles street",18
"bradfield street",18
"bergen street",18
"farleigh avenue",18
"argyle street",17
"darien street",17
"glenthorne road",17
"wilder terrace",17
"coleman terrace",17
"nellis park",17
"morgan street",17
"alcazar street",17
"vermont street",17
"erion crescent",17
"barnum street",17
"lasalle street",17
"york street",17
"eastman avenue",17
"edith street",17
"hanna place",17
"sheppler street",17
"garland avenue",17
"kenmore street",17
"crawford street",17
"felix street",17
"kay terrace",17
"placid place",17
"merrimac street",17
"summit grove park",17
"marshall street",17
"admiral park",17
"fair place",17
"cuba place",17
"beverly street",17
"mcguckin street",17
"stanley street",17
"turner street",17
"charlotte street",17
"fairfax road",17
"de mallie street",17
"pollard avenue",17
"bernice street",17
"wait street",17
"milliner street",17
"paige street",17
"galusha street",16
"le frois street",16
"royleston road",16
"bremen street",16
"arklow street",16
"meadowbrook road",16
"regent street",16
"monica street",16
"southview terrace",16
"rexford street",16
"roser street",16
"del monte street",16
"mckinley street",16
"berry street",16
"webster crescent",16
"lundsford lane",16
"briggs street",16
"norris drive",16
"st clair street",16
"dorothy avenue",16
"petrossi drive",16
"joseph place",16
"alexis street",16
"woodrow street",16
"north burley road",16
"holmes street",16
"wright terrace",16
"marlow street",16
"winston place",16
"mildorf street",16
"liberty pole way",16
"dunsmere drive",16
"holden street",16
"lanark crescent",16
"peters place",16
"freemont road",16
"bardin street",16
"bauer street",16
"glasser street",16
"grandview terrace",16
"serenity circle",16
"lynbrook drive",16
"lattimore road",16
"colgate street",16
"coventry avenue",15
"trento street",15
"coulton place",15
"weeger street",15
"elser terrace",15
"herkimer street",15
"river heights",15
"bloomingdale street",15
"bayclif drive",15
"gilmore street",15
"chemung street",15
"fort hill terrace",15
"whitmore street",15
"devitt road",15
"sterling street",15
"schanck avenue",15
"orlando street",15
"crouch street",15
"eddy street",15
"durham street",15
"lakecrest avenue",15
"parkwood road",15
"tremont circle",15
"westgate terrace",15
"cedar street",15
"wilson street",15
"velox street",15
"whiteford road",14
"herbert street",14
"kemphurst road",14
"karges place",14
"atwell street",14
"cook street",14
"ardmore street",14
"varden street",14
"north water street",14
"appleton street",14
"parma street",14
"schum lane",14
"durgin street",14
"elmerston road",14
"dodge street",14
"rockland park",14
"florack street",14
"fuller place",14
"forester street",14
"oakwood road",14
"luella street",14
"greig street",14
"eighth street",14
"geneva street",14
"florence street",14
"lynchester street",14
"jersey street",14
"coburg street",14
"pavilion street",14
"branch street",13
"hortense street",13
"heather street",13
"raleigh street",13
"emanon street",13
"engel place",13
"frances street",13
"lisbon street",13
"shelbourne road",13
"broezel street",13
"west sawyer place",13
"burbank street",13
"gramercy park",13
"rialto street",13
"mapledale street",13
"copley street",13
"judson terrace",13
"thorn street",13
"ok terrace",13
"bradford street",13
"watkin terrace",13
"renfrew place",13
"welstead place",13
"bauman street",13
"wellesley street",13
"braddock street",13
"sayne street",13
"riga street",13
"leavenworth street",13
"flora street",13
"northampton street",13
"west cheltenham road",13
"luzerne street",13
"candlelight drive",13
"needham street",13
"south madison park",13
"manila street",13
"gladstone street",13
"wyand crescent",12
